RecallNo,y2k,Manufacturer,Type,Prname,UPC,Seqid,Hazard,Country_mfg,Recdate
10155,110155,LELE,Clothing (Children),"LELE & Company Maria Elena, Eddie Children’s Princess, Prince, Champion hooded sweatshirt sets",,12650,Strangulation,Vietnam,2010-03-03
10155,110155,Maria Elena,,,,12651,,,
10155,110155,Eddie,,,,12652,,,
10155,110155,Dd’s Discount,,,,12653,,,
10155,110155,Frine Solarzvo,,,,12654,,,
10155,110155,Toro Wholesale,,,,12655,,,
10155,110155,El Carrusel,,,,12656,,,
10155,110155,Hana Hosiery,,,,12657,,,
10155,110155,Lacala Design,,,,12658,,,
10155,110155,La Revoltosa,,,,12659,,,
